lis_member_id,bioguide
S275,C000127
S311,K000367
S313,S000033
S316,W000802
S317,B001261
S318,W000437
S252,C001035
S287,C001056
S253,D000563
S293,G000359
S174,M000355
S322,M001176
S259,R000122
S323,R000584
S324,S001181
S327,W000805
S331,G000555
S337,C001088
S354,B001230
S330,B001267
S396,B001243
S341,B001277
S343,B001236
S372,C001047
S373,C001075
S266,C000880
S153,G000386
S359,H001046
S361,H001042
S344,H001061
S345,J000293
S378,L000575
S346,L000577
S409,L000570
S369,M000133
S347,M000934
S288,M001153
S364,M001169
S229,M001111
S348,P000603
S380,P000595
S427,S001150
S270,S000148
S365,S001184
S303,T000250
S390,V000128
S422,W000800
S247,W000779
S391,Y000064
S353,S001194
S374,C001095
S386,D000622
S366,W000817
S363,K000383
S375,D000618
S398,C001096
S357,F000463
S355,C001098
S362,K000384
S370,B001288
S432,G000574
S383,S001198
S376,E000295
S384,T000476
S381,R000605
S389,K000393
S388,H001076
S385,C001113
S430,B001303
S429,B001299
S411,M001198
S417,B001305
S402,R000608
S431,C001114
S394,S001203
S395,H001079
S436,S001208
S426,K000394
S404,S001217
S399,H001089
S406,K000377
S410,L000571
S412,T000278
S408,H000273
S407,H000601
S413,P000145
S414,O000174
S415,W000790
S416,B001319
S420,S001227
S418,F000479
S423,R000618
S428,A000382
S435,S001232
S434,M001242
S433,M001243
S437,J000312
S438,H001104
S439,M001244
S440,A000383
S134,A000219
S135,B000647
S138,H000951
S063,M000346
S178,S000055
S180,A000031
S023,C000877
S149,D000366
S183,F000329
S034,G000072
S155,K000019
S160,R000497
S162,S001138
S181,W000647
S009,B000401
S015,B001077
S108,D000030
S102,D000185
S133,D000566
S115,H000456
S104,M000250
S114,M000678
S144,M000811
S107,R000249
S117,S000068
S119,W000092
S165,W000607
S128,B000639
S132,B001225
S214,B000919
S137,C000598
S129,E000284
S170,G000321
S044,H000343
S130,H000445
S054,J000189
S140,K000017
S074,N000171
S078,P000193
S141,P000513
S125,P000556
S218,S000269
S175,S000423
S142,S000429
S219,W000665
S220,B001076
S014,B001057
S147,D000018
S026,D000401
S227,F000437
S033,F000268
S035,G000236
S232,K000088
S234,K000333
S233,M000236
S226,M001025
S075,P000009
S238,A000355
S239,A000356
S206,B000993
S116,C000269
S152,G000333
S242,G000367
S208,K000146
S205,M000019
S113,M001054
S207,R000295
S083,R000460
S248,F000438
S251,C001034
S171,G000365
S046,H000463
S256,H001015
S216,S000606
S237,T000457
S096,T000254
S263,T000317
S217,W000288
S179,B000780
S225,C000077
S228,C000813
S185,D000064
S267,E000286
S268,F000442
S199,G000352
S047,H000725
S157,M001085
S158,N000102
S273,M001141
S274,A000121
S211,B001126
S276,C001043
S272,C001040
S279,C001042
S280,D000596
S240,D000294
S241,F000439
S204,J000072
S244,S000059
S106,S000064
S285,B001237
S286,T000024
S250,A000109
S291,C001057
S215,C000858
S292,D000601
S027,D000407
S255,H001028
S262,S001142
S090,S000888
S296,S001078
S143,W000154
S264,B001233
S231,B000382
S200,B000611
S249,B000953
S265,B001066
S150,D000388
S222,D000432
S230,F000061
S224,G000445
S269,L000035
S304,M001162
S297,S001163
S161,S000709
S271,V000126
S017,B001210
S278,C001041
S281,E000194
S055,K000105
S203,L000447
S246,T000162
S010,B000444
S328,B001266
S329,K000373
S333,L000572
S334,K000374
S336,G000561
S298,O000167
S051,I000025
S213,A000069
S167,B000468
S201,C000705
S235,H001016
S209,K000305
S210,L000304
S105,L000504
S283,N000180
S245,S000663
S315,W000803
S335,B001268
S302,D000595
S173,K000148
S166,L000123
S367,C001099
S368,C001100
S127,B000243
S319,B001265
S290,C000286
S320,H001049
S172,H000206
S257,J000177
S258,L000550
S131,L000261
S295,P000590
S176,R000361
S325,U000038
S301,C000560
S371,W000818
S321,J000291
S340,A000368
S223,B000711
S212,C000542
S339,K000360
S182,M000702
S198,R000146
S299,V000127
S261,S001141
S332,F000457
S392,S001202
S136,C000567
S197,M000303
S243,K000352
S310,C001071
S118,H000338
S312,M001170
S282,N000032
S356,D000607
S358,F000444
S352,H001041
S360,H001069
S305,I000055
S400,M001197
S289,A000360
S254,E000285
S260,R000307
S326,U000039
S377,G000562
S379,P000612
S393,J000300
S387,H001075
S405,L000594
S342,B000575
S300,B001135
S057,L000174
S349,P000449
S184,S000320
S351,T000461
S236,I000024
S382,S001197
S221,F000062
S306,M000639
S424,B001320
S425,H001097
S307,B000944
S308,C000141
S277,C000174
S309,C001070
S284,S000770
S314,T000464
S338,M001183
S403,S001191
S397,B001310
S401,R000615
S421,V000137
S350,R000595
S419,M001190
