vote_id,chamber,congress,session,clerk_rollnumber,rollnumber,date,bill_number,n_compared,agreement
house_110_1st_15,house,110,1,15,14,2007-01-09,HR1,426,1.0
house_110_1st_18,house,110,1,18,17,2007-01-10,HR2,430,1.0
house_110_1st_20,house,110,1,20,19,2007-01-11,HR3,426,1.0
house_110_1st_23,house,110,1,23,22,2007-01-12,HR4,424,1.0
house_110_1st_32,house,110,1,32,31,2007-01-17,HR5,426,1.0
house_110_1st_28,house,110,1,28,27,2007-01-17,HR434,414,1.0
house_110_1st_40,house,110,1,40,39,2007-01-18,HR6,426,1.0
house_110_1st_42,house,110,1,42,41,2007-01-19,HR475,415,1.0
house_110_1st_45,house,110,1,45,44,2007-01-22,HR390,414,1.0
house_110_1st_47,house,110,1,47,46,2007-01-23,HR599,426,1.0
house_110_1st_59,house,110,1,59,58,2007-01-29,HR49,408,1.0
house_110_1st_58,house,110,1,58,57,2007-01-29,HR521,407,1.0
house_110_1st_72,house,110,1,72,71,2007-01-31,HJRES20,425,1.0
house_110_1st_77,house,110,1,77,76,2007-02-06,HR386,416,1.0
house_110_1st_76,house,110,1,76,75,2007-02-06,HR161,418,1.0
house_110_1st_78,house,110,1,78,77,2007-02-07,HR365,427,1.0
house_110_1st_80,house,110,1,80,79,2007-02-07,HR482,424,1.0
house_110_1st_92,house,110,1,92,91,2007-02-08,HR547,402,1.0
house_110_1st_98,house,110,1,98,97,2007-02-13,HR437,420,1.0
house_110_1st_105,house,110,1,105,104,2007-02-27,HR884,411,1.0
house_110_1st_104,house,110,1,104,103,2007-02-27,HR755,411,1.0
house_110_1st_110,house,110,1,110,109,2007-02-28,HR556,422,1.0
house_110_1st_118,house,110,1,118,117,2007-03-01,HR800,425,1.0
house_110_1st_119,house,110,1,119,118,2007-03-05,HR995,389,1.0
house_110_1st_120,house,110,1,120,119,2007-03-05,HR497,389,1.0
house_110_1st_125,house,110,1,125,124,2007-03-07,HR569,424,1.0
house_110_1st_130,house,110,1,130,129,2007-03-08,HR700,426,1.0
house_110_1st_135,house,110,1,135,134,2007-03-09,HR720,410,1.0
house_110_1st_142,house,110,1,142,141,2007-03-14,HR1254,423,1.0
house_110_1st_153,house,110,1,153,152,2007-03-14,HR985,424,1.0
house_110_1st_156,house,110,1,156,155,2007-03-15,HR1362,419,1.0
house_110_1st_159,house,110,1,159,158,2007-03-19,HR839,394,1.0
house_110_1st_158,house,110,1,158,157,2007-03-19,HR658,399,1.0
house_110_1st_162,house,110,1,162,161,2007-03-20,HR759,420,1.0
house_110_1st_177,house,110,1,177,176,2007-03-21,HR1130,414,1.0
house_110_1st_172,house,110,1,172,171,2007-03-21,HR1227,426,1.0
