vote_id,bioguide,member_name,party,state,chamber,congress,bill_number,bill_title,vote_date,true_label,predicted_label,reasoning,prompt_tokens,completion_tokens,n_tweets_raw,n_tweets_used,competitiveness,had_bill_summary,retrieval_method,mean_similarity,timestamp,freshman,n_past_votes
house_115_1st_637,W000798,Walberg,R,MI,house,115,H R 1,Tax Cuts and Jobs Act,2017-11-16,Yea,Yea,always_yea baseline: 519535/670495 Yea (77.5%) across all prior votes,0,0,,,contested,,,,2026-08-17T09:45:39.950700+00:00,veteran,25
senate_117_1_313,K000383,King (I-ME),I,ME,senate,117,"A bill to authorize funds for Federal-aid highways, highway safety programs, and",Motion to Invoke Cloture Re: H.R. 3684,2021-08-08,Yea,Yea,always_yea baseline: 684197/891290 Yea (76.8%) across all prior votes,0,0,,,contested,,,,2026-08-17T09:45:39.950972+00:00,veteran,25
senate_114_1_163,T000250,Thune (R-SD),R,SD,senate,114,A bill to provide justice for the victims of trafficking.,S. 178 As Amended,2015-04-22,Yea,Yea,always_yea baseline: 397160/506548 Yea (78.4%) across all prior votes,0,0,,,unanimous,,,,2026-08-17T09:45:39.950998+00:00,veteran,25
house_113_1st_361,R000575,Rogers (AL),R,AL,house,113,H R 2667,Authority for Mandate Delay Act,2013-07-17,Yea,Yea,always_yea baseline: 311416/390807 Yea (79.7%) across all prior votes,0,0,,,contested,,,,2026-08-17T09:45:39.951021+00:00,veteran,25
house_117_2nd_141,S001172,Smith (NE),R,NE,house,117,S 3522,Ukraine Democracy Defense Lend-Lease Act,2022-04-28,Yea,Yea,always_yea baseline: 731448/950814 Yea (76.9%) across all prior votes,0,0,,,unanimous,,,,2026-08-17T09:45:39.951049+00:00,veteran,25
house_117_2nd_362,G000553,"Green, Al (TX)",D,TX,house,117,H R 8297,Ensuring Access to Abortion Act,2022-07-15,Yea,Yea,always_yea baseline: 757170/982109 Yea (77.1%) across all prior votes,0,0,,,contested,,,,2026-08-17T09:45:39.951071+00:00,veteran,25
house_117_2nd_459,W000822,Watson Coleman,D,NJ,house,117,H R 7780,Mental Health Matters Act,2022-09-29,Yea,Yea,always_yea baseline: 767405/997096 Yea (77.0%) across all prior votes,0,0,,,contested,,,,2026-08-17T09:45:39.951092+00:00,veteran,25
senate_113_2_10,C001056,Cornyn (R-TX),R,TX,senate,113,"A bill to provide for the extension of certain unemployment benefits, and for ot",Motion to Invoke Cloture on S. 1845,2014-01-14,Nay,Yea,always_yea baseline: 337972/426374 Yea (79.3%) across all prior votes,0,0,,,contested,,,,2026-08-17T09:45:39.951114+00:00,veteran,25
senate_117_2_272,G000555,Gillibrand (D-NY),D,NY,senate,117,A bill to improve the Iraq and Afghanistan Service Grant and the Children of Fal,Motion to Invoke Cloture: Motion to Concur in the House Amendment to S. 3373,2022-07-27,Yea,Yea,always_yea baseline: 761002/987577 Yea (77.1%) across all prior votes,0,0,,,contested,,,,2026-08-17T09:45:39.951135+00:00,veteran,25
house_112_2nd_72,D000197,DeGette,D,CO,house,112,H R 3630,"To provide incentives for the creation of jobs, and for other purposes",2012-02-17,Yea,Yea,always_yea baseline: 257058/321127 Yea (80.0%) across all prior votes,0,0,,,contested,,,,2026-08-17T09:45:39.951155+00:00,veteran,25
house_116_1st_554,S001208,Slotkin (D-MI),D,MI,house,116,H R 3722,Joint Task Force to Combat Opioid Trafficking Act,2019-09-27,Yea,Yea,always_yea baseline: 621249/803449 Yea (77.3%) across all prior votes,0,0,,,unanimous,,,,2026-08-17T09:45:39.951176+00:00,freshman,25
