vote_id,bioguide,member_name,party,state,chamber,congress,bill_number,bill_title,vote_date,true_label,predicted_label,reasoning,prompt_tokens,completion_tokens,n_tweets_raw,n_tweets_used,competitiveness,had_bill_summary,retrieval_method,mean_similarity,timestamp,freshman,n_past_votes
house_115_1st_637,W000798,Walberg,R,MI,house,115,H R 1,Tax Cuts and Jobs Act,2017-11-16,Yea,Yea,chamber_majority baseline: house in congress 115 was held by R; member is R,0,0,,,contested,,,,2026-08-17T09:45:41.775239+00:00,veteran,25
senate_117_1_313,K000383,King (I-ME),I,ME,senate,117,"A bill to authorize funds for Federal-aid highways, highway safety programs, and",Motion to Invoke Cloture Re: H.R. 3684,2021-08-08,Yea,Nay,chamber_majority baseline: senate in congress 117 was held by R; member is I,0,0,,,contested,,,,2026-08-17T09:45:41.775271+00:00,veteran,25
senate_114_1_163,T000250,Thune (R-SD),R,SD,senate,114,A bill to provide justice for the victims of trafficking.,S. 178 As Amended,2015-04-22,Yea,Yea,chamber_majority baseline: senate in congress 114 was held by R; member is R,0,0,,,unanimous,,,,2026-08-17T09:45:41.775295+00:00,veteran,25
house_113_1st_361,R000575,Rogers (AL),R,AL,house,113,H R 2667,Authority for Mandate Delay Act,2013-07-17,Yea,Yea,chamber_majority baseline: house in congress 113 was held by R; member is R,0,0,,,contested,,,,2026-08-17T09:45:41.775316+00:00,veteran,25
house_117_2nd_141,S001172,Smith (NE),R,NE,house,117,S 3522,Ukraine Democracy Defense Lend-Lease Act,2022-04-28,Yea,Nay,chamber_majority baseline: house in congress 117 was held by D; member is R,0,0,,,unanimous,,,,2026-08-17T09:45:41.775337+00:00,veteran,25
house_117_2nd_362,G000553,"Green, Al (TX)",D,TX,house,117,H R 8297,Ensuring Access to Abortion Act,2022-07-15,Yea,Yea,chamber_majority baseline: house in congress 117 was held by D; member is D,0,0,,,contested,,,,2026-08-17T09:45:41.775358+00:00,veteran,25
house_117_2nd_459,W000822,Watson Coleman,D,NJ,house,117,H R 7780,Mental Health Matters Act,2022-09-29,Yea,Yea,chamber_majority baseline: house in congress 117 was held by D; member is D,0,0,,,contested,,,,2026-08-17T09:45:41.775379+00:00,veteran,25
senate_113_2_10,C001056,Cornyn (R-TX),R,TX,senate,113,"A bill to provide for the extension of certain unemployment benefits, and for ot",Motion to Invoke Cloture on S. 1845,2014-01-14,Nay,Nay,chamber_majority baseline: senate in congress 113 was held by D; member is R,0,0,,,contested,,,,2026-08-17T09:45:41.775399+00:00,veteran,25
senate_117_2_272,G000555,Gillibrand (D-NY),D,NY,senate,117,A bill to improve the Iraq and Afghanistan Service Grant and the Children of Fal,Motion to Invoke Cloture: Motion to Concur in the House Amendment to S. 3373,2022-07-27,Yea,Nay,chamber_majority baseline: senate in congress 117 was held by R; member is D,0,0,,,contested,,,,2026-08-17T09:45:41.775419+00:00,veteran,25
house_112_2nd_72,D000197,DeGette,D,CO,house,112,H R 3630,"To provide incentives for the creation of jobs, and for other purposes",2012-02-17,Yea,Nay,chamber_majority baseline: house in congress 112 was held by R; member is D,0,0,,,contested,,,,2026-08-17T09:45:41.775439+00:00,veteran,25
house_116_1st_554,S001208,Slotkin (D-MI),D,MI,house,116,H R 3722,Joint Task Force to Combat Opioid Trafficking Act,2019-09-27,Yea,Yea,chamber_majority baseline: house in congress 116 was held by D; member is D,0,0,,,unanimous,,,,2026-08-17T09:45:41.775459+00:00,freshman,25
house_119_2nd_87,S001213,Steil,R,WI,house,119,H R 7744,"Department of Homeland Security Appropriations Act, 2026",2026-03-05,Yea,Yea,chamber_majority baseline: house in congress 119 was held by R; member is R,0,0,,,contested,,,,2026-08-17T09:45:41.775479+00:00,veteran,25
house_117_2nd_70,C001116,Clyde,R,GA,house,117,H R 6968,Suspending Energy Imports from Russia Act,2022-03-09,Yea,Nay,chamber_majority baseline: house in congress 117 was held by D; member is R,0,0,,,unanimous,,,,2026-08-17T09:45:41.775500+00:00,freshman,25
senate_113_1_160,C001071,Corker (R-TN),R,TN,senate,113,To strengthen border security and enforcement.,Motion to Invoke Cloture on Leahy Amdt. No. 1183 As Modified,2013-06-24,Yea,Nay,chamber_majority baseline: senate in congress 113 was held by D; member is R,0,0,,,contested,,,,2026-08-17T09:45:41.775520+00:00,veteran,25
house_115_1st_692,D000627,Demings,D,FL,house,115,H R 1,Tax Cuts and Jobs Act,2017-12-19,Nay,Nay,chamber_majority baseline: house in congress 115 was held by R; member is D,0,0,,,contested,,,,2026-08-17T09:45:41.775540+00:00,freshman,25
house_116_1st_134,L000570,Lujan (D-NM),D,NM,house,116,H R 7,Paycheck Fairness Act,2019-03-27,Yea,Yea,chamber_majority baseline: house in congress 116 was held by D; member is D,0,0,,,contested,,,,2026-08-17T09:45:41.775560+00:00,veteran,25
house_116_1st_46,C001063,Cuellar,D,TX,house,116,H J RES 28,"Making further continuing appropriations for fiscal year 2019, and for other purposes",2019-01-23,Yea,Yea,chamber_majority baseline: house in congress 116 was held by D; member is D,0,0,,,contested,,,,2026-08-17T09:45:41.775580+00:00,veteran,25
house_114_1st_544,C001063,Cuellar,D,TX,house,114,H R 538,Native American Energy Act,2015-10-08,Yea,Nay,chamber_majority baseline: house in congress 114 was held by R; member is D,0,0,,,contested,,,,2026-08-17T09:45:41.775600+00:00,veteran,25
house_119_1st_145,M001208,McBath,D,GA,house,119,H R 1,One Big Beautiful Act,2025-05-22,Nay,Nay,chamber_majority baseline: house in congress 119 was held by R; member is D,0,0,,,contested,,,,2026-08-17T09:45:41.775620+00:00,veteran,25
