vote_id,bioguide,member_name,party,state,chamber,congress,bill_number,bill_title,vote_date,true_label,predicted_label,reasoning,prompt_tokens,completion_tokens,n_tweets_raw,n_tweets_used,competitiveness,had_bill_summary,retrieval_method,mean_similarity,timestamp,proj,freshman,n_past_votes
house_115_1st_637,W000798,Walberg,R,MI,house,115,H R 1,Tax Cuts and Jobs Act,2017-11-16,Yea,Nay,"DW-NOMINATE spatial rule: proj=+0.4168, ideal=(0.498, 0.168), midpoint=(-0.114, 0.964) -> Nay",0,0,0,0,contested,,,,2026-08-17T09:45:51.084846+00:00,0.416796,veteran,25
senate_117_1_313,K000383,King (I-ME),I,ME,senate,117,"A bill to authorize funds for Federal-aid highways, highway safety programs, and",Motion to Invoke Cloture Re: H.R. 3684,2021-08-08,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.3322, ideal=(-0.170, -0.180), midpoint=(0.402, -0.916) -> Yea",0,0,0,0,contested,,,,2026-08-17T09:45:51.084846+00:00,-0.33216,veteran,25
senate_114_1_163,T000250,Thune (R-SD),R,SD,senate,114,A bill to provide justice for the victims of trafficking.,S. 178 As Amended,2015-04-22,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,unanimous,,,,2026-08-17T09:45:51.084846+00:00,0.0,veteran,25
house_113_1st_361,R000575,Rogers (AL),R,AL,house,113,H R 2667,Authority for Mandate Delay Act,2013-07-17,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.2246, ideal=(0.379, 0.377), midpoint=(-0.299, 0.954) -> Yea",0,0,0,0,contested,,,,2026-08-17T09:45:51.084846+00:00,-0.2246099999999999,veteran,25
house_117_2nd_141,S001172,Smith (NE),R,NE,house,117,S 3522,Ukraine Democracy Defense Lend-Lease Act,2022-04-28,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,unanimous,,,,2026-08-17T09:45:51.084846+00:00,0.0,veteran,25
house_117_2nd_362,G000553,"Green, Al (TX)",D,TX,house,117,H R 8297,Ensuring Access to Abortion Act,2022-07-15,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.6158, ideal=(-0.448, 0.256), midpoint=(0.087, 0.703) -> Yea",0,0,0,0,contested,,,,2026-08-17T09:45:51.084846+00:00,-0.615775,veteran,25
house_117_2nd_459,W000822,Watson Coleman,D,NJ,house,117,H R 7780,Mental Health Matters Act,2022-09-29,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.6152, ideal=(-0.592, -0.230), midpoint=(0.093, 0.064) -> Yea",0,0,0,0,contested,,,,2026-08-17T09:45:51.084846+00:00,-0.615243,veteran,25
senate_113_2_10,C001056,Cornyn (R-TX),R,TX,senate,113,"A bill to provide for the extension of certain unemployment benefits, and for ot",Motion to Invoke Cloture on S. 1845,2014-01-14,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.0858, ideal=(0.471, -0.060), midpoint=(0.067, 0.015) -> Nay",0,0,0,0,contested,,,,2026-08-17T09:45:51.084846+00:00,0.085778,veteran,25
senate_117_2_272,G000555,Gillibrand (D-NY),D,NY,senate,117,A bill to improve the Iraq and Afghanistan Service Grant and the Children of Fal,Motion to Invoke Cloture: Motion to Concur in the House Amendment to S. 3373,2022-07-27,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.1215, ideal=(-0.445, -0.308), midpoint=(0.323, 0.946) -> Yea",0,0,0,0,contested,,,,2026-08-17T09:45:51.084846+00:00,-0.121542,veteran,25
house_112_2nd_72,D000197,DeGette,D,CO,house,112,H R 3630,"To provide incentives for the creation of jobs, and for other purposes",2012-02-17,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.0931, ideal=(-0.431, -0.309), midpoint=(0.639, -0.767) -> Yea",0,0,0,0,contested,,,,2026-08-17T09:45:51.084846+00:00,-0.093098,veteran,25
