vote_id,bioguide,member_name,party,state,chamber,congress,bill_number,bill_title,vote_date,true_label,predicted_label,reasoning,prompt_tokens,completion_tokens,n_tweets_raw,n_tweets_used,competitiveness,had_bill_summary,retrieval_method,mean_similarity,timestamp,proj,freshman,n_past_votes
house_114_2nd_477,C000059,Calvert,R,CA,house,114,H R 5538,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2017, and for other purposes",2016-07-14,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.1728, ideal=(0.340, 0.279), midpoint=(0.081, 0.092) -> Yea",0,0,0,0,0.0,,,,2026-08-17T09:46:25.610873+00:00,-0.172806,veteran,25
senate_111_2_288,M000303,McCain (R-AZ),R,AZ,senate,111,"A bill making appropriations for military construction, the Department of Vetera",Motion to Invoke Cloture on the House Amendment to the Senate Amendment to H.R. 3082 With Amdt. No. 4885,2010-12-21,Nay,Yea,"DW-NOMINATE spatial rule: proj=-0.3904, ideal=(0.381, -0.626), midpoint=(0.231, 0.973) -> Yea",0,0,0,0,0.0,,,,2026-08-17T09:46:25.610873+00:00,-0.390444,veteran,25
house_114_1st_75,P000605,Perry,R,PA,house,114,S 1,Keystone XL Pipeline Approval Act,2015-02-11,Yea,Nay,"DW-NOMINATE spatial rule: proj=+0.2949, ideal=(0.686, -0.495), midpoint=(-0.219, 0.016) -> Nay",0,0,0,0,0.0,,,,2026-08-17T09:46:25.610873+00:00,0.294893,veteran,25
house_113_1st_458,K000376,Kelly (PA),R,PA,house,113,H R 2775,"To condition the provision of premium and cost-sharing subsidies under the Patient Protection and Affordable Care Act upon a certification that a program to verify household income and other qualifications for such subsidies is operational, and for other purposes",2013-09-12,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.1718, ideal=(0.379, 0.398), midpoint=(-0.190, 0.704) -> Yea",0,0,0,0,0.0,,,,2026-08-17T09:46:25.610873+00:00,-0.171832,veteran,25
house_113_2nd_156,C001096,Cramer (R-ND),R,ND,house,113,H R 2575,Save American Workers Act of 2014,2014-04-03,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.4480, ideal=(0.401, 0.365), midpoint=(-0.241, 0.384) -> Yea",0,0,0,0,0.0,,,,2026-08-17T09:46:25.610873+00:00,-0.4479709999999999,freshman,25
house_112_2nd_450,W000809,Womack,R,AR,house,112,H R 5972,"Making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2013, and for other purposes",2012-06-29,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.1871, ideal=(0.347, 0.636), midpoint=(-0.768, 0.640) -> Yea",0,0,0,0,0.0,,,,2026-08-17T09:46:25.610873+00:00,-0.187074,freshman,25
house_113_1st_570,M001159,Rodgers (WA),R,WA,house,113,H J RES 99,"Relating to the disapproval of the President’s exercise of authority to suspend the debt limit, as submitted under section 1002(b) of the Continuing Appropriations Act, 2014 on October 17, 2013",2013-10-30,Yea,Nay,"DW-NOMINATE spatial rule: proj=+0.1254, ideal=(0.436, 0.098), midpoint=(-0.139, 0.763) -> Nay",0,0,0,0,0.0,,,,2026-08-17T09:46:25.610873+00:00,0.125375,veteran,25
house_112_1st_923,B001243,Blackburn (R-TN),R,TN,house,112,H R 3630,"To provide incentives for the creation of jobs, and for other purposes",2011-12-13,Yea,Nay,"DW-NOMINATE spatial rule: proj=+0.1371, ideal=(0.632, 0.142), midpoint=(-0.296, 0.955) -> Nay",0,0,0,0,0.0,,,,2026-08-17T09:46:25.610873+00:00,0.1371339999999999,veteran,25
house_112_1st_677,M001158,Marchant,R,TX,house,112,S 627,Budget Control Act of 2011,2011-07-29,Yea,Nay,"DW-NOMINATE spatial rule: proj=+0.1987, ideal=(0.600, 0.154), midpoint=(-0.211, 0.978) -> Nay",0,0,0,0,0.0,,,,2026-08-17T09:46:25.610873+00:00,0.1987199999999999,veteran,25
house_113_2nd_11,L000569,Luetkemeyer,R,MO,house,113,H R 3811,Health Exchange Security and Transparency Act,2014-01-10,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.8349, ideal=(0.450, 0.247), midpoint=(-0.317, 0.311) -> Yea",0,0,0,0,0.0,,,,2026-08-17T09:46:25.610873+00:00,-0.8349009999999999,veteran,25
