vote_id,bioguide,member_name,party,state,chamber,congress,bill_number,bill_title,vote_date,true_label,predicted_label,reasoning,prompt_tokens,completion_tokens,n_tweets_raw,n_tweets_used,competitiveness,had_bill_summary,retrieval_method,mean_similarity,timestamp,freshman,n_past_votes
house_115_1st_637,W000798,Walberg,R,MI,house,115,H R 1,Tax Cuts and Jobs Act,2017-11-16,Yea,Yea,member_prior baseline: 996/1142 Yea (87.2%) across this member's prior votes,0,0,,,contested,,,,2026-08-17T09:45:40.718158+00:00,veteran,25
senate_117_1_313,K000383,King (I-ME),I,ME,senate,117,"A bill to authorize funds for Federal-aid highways, highway safety programs, and",Motion to Invoke Cloture Re: H.R. 3684,2021-08-08,Yea,Yea,member_prior baseline: 706/965 Yea (73.2%) across this member's prior votes,0,0,,,contested,,,,2026-08-17T09:45:40.718194+00:00,veteran,25
senate_114_1_163,T000250,Thune (R-SD),R,SD,senate,114,A bill to provide justice for the victims of trafficking.,S. 178 As Amended,2015-04-22,Yea,Nay,member_prior baseline: 259/638 Yea (40.6%) across this member's prior votes,0,0,,,unanimous,,,,2026-08-17T09:45:40.718217+00:00,veteran,25
house_113_1st_361,R000575,Rogers (AL),R,AL,house,113,H R 2667,Authority for Mandate Delay Act,2013-07-17,Yea,Yea,member_prior baseline: 660/842 Yea (78.4%) across this member's prior votes,0,0,,,contested,,,,2026-08-17T09:45:40.718238+00:00,veteran,25
house_117_2nd_141,S001172,Smith (NE),R,NE,house,117,S 3522,Ukraine Democracy Defense Lend-Lease Act,2022-04-28,Yea,Yea,member_prior baseline: 1519/1927 Yea (78.8%) across this member's prior votes,0,0,,,unanimous,,,,2026-08-17T09:45:40.718259+00:00,veteran,25
house_117_2nd_362,G000553,"Green, Al (TX)",D,TX,house,117,H R 8297,Ensuring Access to Abortion Act,2022-07-15,Yea,Yea,member_prior baseline: 1476/1973 Yea (74.8%) across this member's prior votes,0,0,,,contested,,,,2026-08-17T09:45:40.718279+00:00,veteran,25
house_117_2nd_459,W000822,Watson Coleman,D,NJ,house,117,H R 7780,Mental Health Matters Act,2022-09-29,Yea,Yea,member_prior baseline: 676/1004 Yea (67.3%) across this member's prior votes,0,0,,,contested,,,,2026-08-17T09:45:40.718299+00:00,veteran,25
senate_113_2_10,C001056,Cornyn (R-TX),R,TX,senate,113,"A bill to provide for the extension of certain unemployment benefits, and for ot",Motion to Invoke Cloture on S. 1845,2014-01-14,Nay,Nay,member_prior baseline: 179/448 Yea (40.0%) across this member's prior votes,0,0,,,contested,,,,2026-08-17T09:45:40.718319+00:00,veteran,25
senate_117_2_272,G000555,Gillibrand (D-NY),D,NY,senate,117,A bill to improve the Iraq and Afghanistan Service Grant and the Children of Fal,Motion to Invoke Cloture: Motion to Concur in the House Amendment to S. 3373,2022-07-27,Yea,Yea,member_prior baseline: 1145/1608 Yea (71.2%) across this member's prior votes,0,0,,,contested,,,,2026-08-17T09:45:40.718339+00:00,veteran,25
house_112_2nd_72,D000197,DeGette,D,CO,house,112,H R 3630,"To provide incentives for the creation of jobs, and for other purposes",2012-02-17,Yea,Yea,member_prior baseline: 580/660 Yea (87.9%) across this member's prior votes,0,0,,,contested,,,,2026-08-17T09:45:40.718359+00:00,veteran,25
house_116_1st_554,S001208,Slotkin (D-MI),D,MI,house,116,H R 3722,Joint Task Force to Combat Opioid Trafficking Act,2019-09-27,Yea,Yea,member_prior baseline: 99/99 Yea (100.0%) across this member's prior votes,0,0,,,unanimous,,,,2026-08-17T09:45:40.718379+00:00,freshman,25
house_119_2nd_87,S001213,Steil,R,WI,house,119,H R 7744,"Department of Homeland Security Appropriations Act, 2026",2026-03-05,Yea,Yea,member_prior baseline: 676/894 Yea (75.6%) across this member's prior votes,0,0,,,contested,,,,2026-08-17T09:45:40.718399+00:00,veteran,25
