vote_id,bioguide,member_name,party,state,chamber,congress,bill_number,bill_title,vote_date,true_label,predicted_label,reasoning,prompt_tokens,completion_tokens,n_tweets_raw,n_tweets_used,competitiveness,had_bill_summary,retrieval_method,mean_similarity,timestamp,freshman,n_past_votes
house_110_1st_641,W000795,Wilson (SC),R,SC,house,110,H R 2641,Energy and Water Development and Related Agencies Appropriations for FY 2008,2007-07-17,Nay,Yea,member_prior baseline: 53/99 Yea (53.5%) across this member's prior votes,0,0,,,,,,,2026-08-21T09:38:48.767740+00:00,veteran,25
house_116_1st_46,F000469,Fulcher,R,ID,house,116,H J RES 28,"Making further continuing appropriations for fiscal year 2019, and for other purposes",2019-01-23,Nay,Yea,member_prior baseline: 11/20 Yea (55.0%) across this member's prior votes,0,0,,,,,,,2026-08-21T09:38:48.767778+00:00,freshman,20
senate_119_2_53,Y000064,Young (R-IN),R,IN,senate,119,"A bill a bill to increase the supply of housing in America, and for other purpos","H.R. 6644, as amended",2026-03-12,Nay,Yea,member_prior baseline: 1652/2043 Yea (80.9%) across this member's prior votes,0,0,,,,,,,2026-08-21T09:38:48.767802+00:00,veteran,25
house_114_2nd_125,B001257,Bilirakis,R,FL,house,114,H R 4416,To extend the deadline for commencement of construction of a hydroelectric project,2016-03-16,Yea,Yea,member_prior baseline: 991/1175 Yea (84.3%) across this member's prior votes,0,0,,,,,,,2026-08-21T09:38:48.767823+00:00,veteran,25
house_119_2nd_38,B001302,Biggs (AZ),R,AZ,house,119,H J RES 140,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to Public Land Order No. 7917 for Withdrawal of Federal Lands; Cook, Lake, and Saint Louis Counties, MN",2026-01-21,Yea,Yea,member_prior baseline: 649/1165 Yea (55.7%) across this member's prior votes,0,0,,,,,,,2026-08-21T09:38:48.767845+00:00,veteran,25
house_119_2nd_118,R000395,Rogers (KY),R,KY,house,119,H R 6398,RED Tape Act,2026-04-16,Yea,Yea,member_prior baseline: 2025/2423 Yea (83.6%) across this member's prior votes,0,0,,,,,,,2026-08-21T09:38:48.767866+00:00,veteran,25
house_116_1st_11,C001061,Cleaver,D,MO,house,116,H R 21,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019-01-03,Yea,Yea,member_prior baseline: 997/1488 Yea (67.0%) across this member's prior votes,0,0,,,,,,,2026-08-21T09:38:48.767887+00:00,veteran,25
house_117_2nd_10,B000490,Bishop,D,GA,house,117,S 2959,Supplemental Impact Aid Flexibility Act,2022-01-18,Yea,Yea,member_prior baseline: 1496/1825 Yea (82.0%) across this member's prior votes,0,0,,,,,,,2026-08-21T09:38:48.767907+00:00,veteran,25
house_118_2nd_515,G000590,Green (TN),R,TN,house,118,S 759,Beagle Brigade Act,2024-12-18,Yea,Yea,member_prior baseline: 425/696 Yea (61.1%) across this member's prior votes,0,0,,,,,,,2026-08-21T09:38:48.767928+00:00,veteran,25
house_116_1st_488,C001112,Carbajal,D,CA,house,116,S J RES 38,Providing for congressional disapproval of the proposed export to the Kingdom of Saudi Arabia and the United Kingdom of Great Britain and Northern Ireland of certain defense articles and services,2019-07-17,Yea,Yea,member_prior baseline: 262/377 Yea (69.5%) across this member's prior votes,0,0,,,,,,,2026-08-21T09:38:48.767948+00:00,veteran,25
