vote_id,bioguide,member_name,party,state,chamber,congress,bill_number,bill_title,vote_date,true_label,predicted_label,reasoning,prompt_tokens,completion_tokens,n_tweets_raw,n_tweets_used,competitiveness,had_bill_summary,retrieval_method,mean_similarity,timestamp,freshman,n_past_votes
house_110_1st_641,W000795,Wilson (SC),R,SC,house,110,H R 2641,Energy and Water Development and Related Agencies Appropriations for FY 2008,2007-07-17,Nay,Yea,party_prior baseline: 11955/19153 Yea (62.4%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.313876+00:00,veteran,25
house_116_1st_46,F000469,Fulcher,R,ID,house,116,H J RES 28,"Making further continuing appropriations for fiscal year 2019, and for other purposes",2019-01-23,Nay,Yea,party_prior baseline: 2181/3792 Yea (57.5%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.313913+00:00,freshman,20
senate_119_2_53,Y000064,Young (R-IN),R,IN,senate,119,"A bill a bill to increase the supply of housing in America, and for other purpos","H.R. 6644, as amended",2026-03-12,Nay,Yea,party_prior baseline: 11912/12533 Yea (95.0%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.313936+00:00,veteran,25
house_114_2nd_125,B001257,Bilirakis,R,FL,house,114,H R 4416,To extend the deadline for commencement of construction of a hydroelectric project,2016-03-16,Yea,Yea,party_prior baseline: 37425/39036 Yea (95.9%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.313959+00:00,veteran,25
house_119_2nd_38,B001302,Biggs (AZ),R,AZ,house,119,H J RES 140,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to Public Land Order No. 7917 for Withdrawal of Federal Lands; Cook, Lake, and Saint Louis Counties, MN",2026-01-21,Yea,Yea,party_prior baseline: 31537/32834 Yea (96.0%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.313980+00:00,veteran,25
house_119_2nd_118,R000395,Rogers (KY),R,KY,house,119,H R 6398,RED Tape Act,2026-04-16,Yea,Yea,party_prior baseline: 36770/38530 Yea (95.4%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314002+00:00,veteran,25
house_116_1st_11,C001061,Cleaver,D,MO,house,116,H R 21,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019-01-03,Yea,Yea,party_prior baseline: no prior history; defaulted to Yea,0,0,,,,,,,2026-08-21T09:38:49.314023+00:00,veteran,25
house_117_2nd_10,B000490,Bishop,D,GA,house,117,S 2959,Supplemental Impact Aid Flexibility Act,2022-01-18,Yea,Yea,party_prior baseline: 29531/29870 Yea (98.9%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314044+00:00,veteran,25
house_118_2nd_515,G000590,Green (TN),R,TN,house,118,S 759,Beagle Brigade Act,2024-12-18,Yea,Yea,party_prior baseline: 43547/46540 Yea (93.6%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314064+00:00,veteran,25
house_116_1st_488,C001112,Carbajal,D,CA,house,116,S J RES 38,Providing for congressional disapproval of the proposed export to the Kingdom of Saudi Arabia and the United Kingdom of Great Britain and Northern Ireland of certain defense articles and services,2019-07-17,Yea,Yea,party_prior baseline: 18327/18400 Yea (99.6%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314085+00:00,veteran,25
house_117_2nd_507,B001297,Buck,R,CO,house,117,S 3875,Community Disaster Resilience Zones Act,2022-12-06,Nay,Yea,party_prior baseline: 35655/59912 Yea (59.5%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314107+00:00,veteran,25
house_110_1st_1033,C001069,Courtney,D,CT,house,110,H R 2262,Hardrock Mining and Reclamation Act,2007-11-01,Yea,Yea,party_prior baseline: 33522/34283 Yea (97.8%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314128+00:00,freshman,25
house_112_1st_828,L000571,Lummis (R-WY),R,WY,house,112,H R 2940,To direct the Securities and Exchange Commission to eliminate the prohibition against general solicitation as a requirement for a certain exemption under Regulation D,2011-11-03,Yea,Yea,party_prior baseline: 21045/22447 Yea (93.8%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314153+00:00,veteran,25
house_117_1st_181,M001208,McBath,D,GA,house,117,S J RES 15,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of the Comptroller of Currency relating to “National Banks and Federal Savings Associations as Lenders”",2021-06-24,Yea,Yea,party_prior baseline: 11093/11236 Yea (98.7%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314173+00:00,veteran,25
house_115_1st_559,L000397,Lofgren,D,CA,house,115,H R 2464,"To designate the facility of the United States Postal Service located at 25 New Chardon Street Lobby in Boston, Massachusetts, as the “John Fitzgerald Kennedy Post Office”",2017-10-10,Yea,Nay,party_prior baseline: 10153/21725 Yea (46.7%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314194+00:00,veteran,25
house_113_2nd_97,N000015,Neal,D,MA,house,113,H R 4118,To amend the Internal Revenue Code of 1986 to delay the implementation of the penalty for failure to comply with the individual health insurance mandate,2014-03-05,Nay,Yea,party_prior baseline: 16074/29244 Yea (55.0%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314215+00:00,veteran,25
senate_114_2_74,C001071,Corker (R-TN),R,TN,senate,114,Making emergency supplemental appropriations for the fiscal year ending Septembe,Motion to Invoke Cloture on Cornyn Amdt. No. 3899,2016-05-17,Yea,Yea,party_prior baseline: 4134/4771 Yea (86.6%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314236+00:00,veteran,25
house_115_1st_158,L000565,Loebsack,D,IA,house,115,H R 720,Lawsuit Abuse Reduction Act,2017-03-10,Nay,Nay,party_prior baseline: 2539/7573 Yea (33.5%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314258+00:00,veteran,25
house_118_2nd_171,A000371,Aguilar,D,CA,house,118,H R 3195,Superior National Forest Restoration Act,2024-04-30,Nay,Nay,party_prior baseline: 10184/26668 Yea (38.2%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314278+00:00,veteran,25
house_113_1st_579,S001191,Sinema (I-AZ),I,AZ,house,113,H R 982,Furthering Asbestos Claim Transparency (FACT) Act of 2013,2013-11-13,Nay,Yea,party_prior baseline: 13379/23183 Yea (57.7%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314299+00:00,freshman,25
house_117_2nd_97,C001109,Cheney,R,WY,house,117,S 2126,"To designate the Federal Office Building located at 308 W. 21st Street in Cheyenne, Wyoming , as the “Louisa Swain Federal Office Building”",2022-03-30,Yea,Yea,party_prior baseline: 19783/33878 Yea (58.4%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314320+00:00,veteran,25
house_118_1st_211,S001205,Scanlon,D,PA,house,118,H R 1163,Protecting Taxpayers and Victims of Unemployment Fraud Act,2023-05-11,Nay,Nay,party_prior baseline: 2511/6549 Yea (38.3%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314342+00:00,veteran,25
house_118_1st_335,A000376,Allred,D,TX,house,118,H J RES 74,"Relating to a national emergency declared by the President on May 16, 2012",2023-07-18,Nay,Nay,party_prior baseline: 3689/10687 Yea (34.5%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314363+00:00,veteran,25
senate_110_1_170,I000024,Inhofe (R-OK),R,OK,senate,110,A bill to provide for the conservation and development of water and related reso,H.R. 1495 As Amended,2007-05-16,Yea,Yea,party_prior baseline: 980/1673 Yea (58.6%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314384+00:00,veteran,25
house_116_1st_577,Y000033,Young,R,AK,house,116,H R 2513,Corporate Transparency Act,2019-10-22,Nay,Nay,party_prior baseline: 9632/20147 Yea (47.8%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314405+00:00,veteran,25
house_114_1st_18,H001038,Higgins (NY),D,NY,house,114,H R 33,Protecting Volunteer Firefighters and Emergency Responders Act,2015-01-12,Yea,Yea,party_prior baseline: 606/1076 Yea (56.3%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314426+00:00,veteran,25
house_116_1st_642,G000574,Gallego (D-AZ),D,AZ,house,116,H R 1309,Workplace Violence Prevention for Heath Care and Social Service Workers Act,2019-11-21,Yea,Yea,party_prior baseline: 26454/26592 Yea (99.5%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314446+00:00,veteran,25
house_114_1st_47,R000577,Ryan (OH),D,OH,house,114,H R 469,Strengthening Child Welfare Response to Trafficking Act of 2015,2015-01-27,Yea,Nay,party_prior baseline: 1000/2326 Yea (43.0%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314467+00:00,veteran,25
house_118_2nd_473,K000391,Krishnamoorthi,D,IL,house,118,H R 1449,CLEAN Act,2024-11-19,Nay,Nay,party_prior baseline: 16290/41900 Yea (38.9%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314487+00:00,veteran,25
house_117_1st_365,P000607,Pocan,D,WI,house,117,H R 4679,"To designate the Federal building located at 1200 New Jersey Avenue Southeast in Washington, DC, as the “Norman Yoshio Mineta Federal Building”",2021-11-04,Yea,Yea,party_prior baseline: 22711/22960 Yea (98.9%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314507+00:00,veteran,25
house_118_1st_500,R000610,Reschenthaler,R,PA,house,118,H R 4665,"Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2024, and for other purposes",2023-09-28,Yea,Yea,party_prior baseline: 13021/14301 Yea (91.0%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314527+00:00,veteran,25
house_119_2nd_7,F000454,Foster,D,IL,house,119,H R 6938,"Commerce, Justice, Science; Energy and Water Development; and Interior and Environment Appropriations Act, 2026",2026-01-08,Yea,Nay,party_prior baseline: 12626/30100 Yea (41.9%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314550+00:00,veteran,25
house_110_1st_624,D000399,Doggett,D,TX,house,110,H R 2956,Responsible Redeployment from Iraq Act,2007-07-12,Yea,Yea,party_prior baseline: 21273/21654 Yea (98.2%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314570+00:00,veteran,25
house_111_2nd_332,M000934,Moran (R-KS),R,KS,house,111,H R 5116,America COMPETES Reauthorization Act,2010-05-28,Nay,Yea,party_prior baseline: 22357/35731 Yea (62.6%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314591+00:00,veteran,25
senate_112_1_187,C001071,Corker (R-TN),R,TN,senate,112,In the nature of a substitute.,Motion to Invoke Cloture on the Inouye Amdt. No. 738,2011-10-21,Nay,Yea,party_prior baseline: 965/1626 Yea (59.3%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314611+00:00,veteran,25
house_116_1st_583,K000009,Kaptur,D,OH,house,116,H R 4617,SHIELD Act,2019-10-23,Yea,Yea,party_prior baseline: 24198/24329 Yea (99.5%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314631+00:00,veteran,25
senate_119_1_654,H001076,Hassan (D-NH),D,NH,senate,119,A joint resolution providing for congressional disapproval under chapter 8 of ti,S. J. Res. 82,2025-12-18,Yea,Nay,party_prior baseline: 1365/9677 Yea (14.1%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314652+00:00,veteran,25
house_114_1st_170,U000031,Upton,R,MI,house,114,H R 1560,Protecting Cyber Networks Act,2015-04-22,Yea,Yea,party_prior baseline: 10798/11146 Yea (96.9%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314672+00:00,veteran,25
house_116_2nd_172,T000468,Titus,D,NV,house,116,H R 7327,Child Care for Economic Recovery Act,2020-07-29,Yea,Yea,party_prior baseline: 35583/36083 Yea (98.6%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314692+00:00,veteran,25
senate_115_2_128,J000300,Jones (D-AL),D,AL,senate,115,To authorize appropriations for fiscal year 2019 for military activities of the ,H.R. 5515 As Amended,2018-06-18,Yea,Nay,party_prior baseline: 2716/6990 Yea (38.9%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314713+00:00,freshman,23
house_111_1st_901,C001047,Capito (R-WV),R,WV,house,111,H R 3791,Fire Grants Reauthorization Act of 2009,2009-11-18,Yea,Yea,party_prior baseline: 16316/25708 Yea (63.5%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314732+00:00,veteran,25
house_113_1st_23,M000312,McGovern,D,MA,house,113,H R 152,"Making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes",2013-01-15,Yea,Yea,party_prior baseline: 374/374 Yea (100.0%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314754+00:00,veteran,25
house_115_1st_99,C001110,Correa,D,CA,house,115,H J RES 43,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients",2017-02-16,Nay,Nay,party_prior baseline: 1800/5327 Yea (33.8%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314774+00:00,freshman,25
house_119_2nd_28,V000130,Vargas,D,CA,house,119,H R 7006,"Financial Services and General Government and National Security, Department of State, and Related Programs Appropriations Act, 2026",2026-01-14,Yea,Nay,party_prior baseline: 13113/31146 Yea (42.1%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314795+00:00,veteran,25
senate_119_1_570,W000790,Warnock (D-GA),D,GA,senate,119,An original bill to authorize appropriations for fiscal year 2026 for military a,"S. 2296, as amended",2025-10-09,Yea,Nay,party_prior baseline: 1023/8064 Yea (12.7%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314815+00:00,veteran,25
house_112_1st_600,D000096,Davis (IL),D,IL,house,112,H R 2354,"Making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2012, and for other purposes",2011-07-15,Nay,Nay,party_prior baseline: 4358/10669 Yea (40.8%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314836+00:00,veteran,25
house_116_1st_687,R000575,Rogers (AL),R,AL,house,116,H R 722,Miracle Mountain Designation Act,2019-12-17,Yea,Nay,party_prior baseline: 11362/23936 Yea (47.5%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314856+00:00,veteran,25
house_118_2nd_136,G000565,Gosar,R,AZ,house,118,H R 4639,Fourth Amendment Is Not For Sale Act,2024-04-17,Yea,Yea,party_prior baseline: 24121/25991 Yea (92.8%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314876+00:00,veteran,25
senate_117_2_64,T000250,Thune (R-SD),R,SD,senate,117,A bill making further continuing appropriations for the fiscal year ending Septe,H.R. 6617,2022-02-17,Nay,Nay,party_prior baseline: 2600/8767 Yea (29.7%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314897+00:00,veteran,25
house_115_2nd_335,J000289,Jordan,R,OH,house,115,H R 4989,Protecting Diplomats from Surveillance Through Consumer Devices Act,2018-07-17,Yea,Yea,party_prior baseline: 53388/54659 Yea (97.7%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314917+00:00,veteran,25
senate_111_2_279,C000127,Cantwell (D-WA),D,WA,senate,111,A bill to amend the Small Business Act with respect to the Small Business Innova,Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 2965,2010-12-18,Yea,Yea,party_prior baseline: 6966/7215 Yea (96.5%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314937+00:00,veteran,25
house_115_2nd_476,W000812,Wagner,R,MO,house,115,H R 7319,"To amend the Federal Assets Sale and Transfer Act of 2016 to provide flexibility with respect to the leaseback of certain Federal real property, and for other purposes",2018-12-21,Yea,Yea,party_prior baseline: 62752/64420 Yea (97.4%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314957+00:00,veteran,25
house_115_1st_61,M001184,Massie,R,KY,house,115,H R 582,Kari’s Law Act,2017-01-23,Yea,Yea,party_prior baseline: 2305/2325 Yea (99.1%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314977+00:00,veteran,25
house_118_1st_282,R000606,Raskin,D,MD,house,118,H R 3799,CHOICE Arrangement Act,2023-06-21,Nay,Nay,party_prior baseline: 3276/9670 Yea (33.9%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.314998+00:00,veteran,25
house_117_1st_49,H001081,Hayes,D,CT,house,117,H R 1319,American Rescue Plan Act,2021-02-27,Yea,Yea,party_prior baseline: 1713/1744 Yea (98.2%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.315018+00:00,veteran,25
house_115_1st_99,M001201,Mitchell,I,MI,house,115,H J RES 43,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients",2017-02-16,Yea,Yea,party_prior baseline: 6671/6734 Yea (99.1%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.315038+00:00,freshman,25
house_110_2nd_583,N000179,Napolitano,D,CA,house,110,H R 3667,Missisquoi and Trout Rivers Wild and Scenic River Study Act of 2008,2008-09-10,Yea,Yea,party_prior baseline: 56609/58090 Yea (97.5%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.315058+00:00,veteran,25
house_118_2nd_208,S001209,Spanberger,D,VA,house,118,H R 6960,Emergency Medical Services for Children Reauthorization Act,2024-05-15,Yea,Nay,party_prior baseline: 11744/30090 Yea (39.0%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.315078+00:00,veteran,25
house_117_1st_183,G000546,Graves,R,MO,house,117,S J RES 13,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Equal Employment Opportunity Commission relating to “Update of Commission’s Conciliation Procedures”",2021-06-24,Nay,Nay,party_prior baseline: 4939/10723 Yea (46.1%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.315098+00:00,veteran,25
house_110_2nd_614,G000552,Gohmert,R,TX,house,110,H R 3036,No Child Left Inside Act of 2008,2008-09-18,Nay,Yea,party_prior baseline: 31141/50575 Yea (61.6%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.315119+00:00,veteran,25
senate_117_2_356,G000359,Graham (R-SC),R,SC,senate,117,A bill to repeal the Defense of Marriage Act and ensure respect for State regula,Motion to Invoke Cloture: Motion to Proceed to H.R. 8404,2022-11-16,Nay,Nay,party_prior baseline: 4019/13744 Yea (29.2%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.315139+00:00,veteran,25
house_118_2nd_279,L000583,Loudermilk,R,GA,house,118,H R 8070,Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025,2024-06-14,Yea,Yea,party_prior baseline: 32340/34719 Yea (93.1%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.315160+00:00,veteran,25
house_111_1st_195,M001177,McClintock,R,CA,house,111,H R 1219,Lake Hodges Surface Water Improvement and Reclamation Act of 2009,2009-04-21,Nay,Yea,party_prior baseline: 4589/7297 Yea (62.9%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.315179+00:00,freshman,25
house_117_2nd_155,E000297,Espaillat,D,NY,house,117,S 1872,United States Army Rangers Veterans of World War II Congressional Gold Medal Act,2022-05-11,Yea,Yea,party_prior baseline: 38502/38869 Yea (99.1%) across prior votes by this party in this chamber/congress,0,0,,,,,,,2026-08-21T09:38:49.315200+00:00,veteran,25
